learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.01,0.0001,0.8,0.5,0.75,0.738562092,0.724358974,0.772727273,0.497712044,0.748543124,0.851216492
0.01,0.0001,0.8,0.9,0.792168675,0.797546012,0.78313253,0.801204819,0.584432797,0.792168675,0.876288286
0.01,0.0001,0.8,0.9,0.719879518,0.754716981,0.689655172,0.753164557,0.442698975,0.721409865,0.816819438
0.01,0.0001,0.8,0.9,0.786144578,0.807692308,0.754491018,0.818181818,0.57370437,0.786336418,0.854345854
0.01,0.0001,0.8,0.9,0.746987952,0.78125,0.718390805,0.778481013,0.496618984,0.748435909,0.838061982
0.01,0.0001,0.8,0.9,0.737951807,0.737931034,0.685897436,0.784090909,0.472934413,0.734994172,0.847155449
0.01,0.001,0.2,0.1,0.771084337,0.761627907,0.789156627,0.753012048,0.542523175,0.771084337,0.871352881
0.01,0.001,0.2,0.1,0.737951807,0.75739645,0.735632184,0.740506329,0.475662949,0.738069257,0.828641059
0.01,0.001,0.2,0.1,0.780120482,0.826388889,0.71257485,0.848484848,0.566042592,0.780529849,0.854654328
0.01,0.001,0.2,0.1,0.756024096,0.785276074,0.735632184,0.778481013,0.513599704,0.757056598,0.845045832
0.01,0.001,0.2,0.1,0.71686747,0.664893617,0.801282051,0.642045455,0.446460601,0.721663753,0.835045163
0.01,0.001,0.2,0.5,0.78313253,0.770114943,0.807228916,0.759036145,0.566923795,0.78313253,0.85915953
0.01,0.001,0.2,0.5,0.725903614,0.867256637,0.563218391,0.905063291,0.493570345,0.734140841,0.816892187
0.01,0.001,0.2,0.5,0.780120482,0.770114943,0.80239521,0.757575758,0.560612208,0.779985484,0.849283252
0.01,0.001,0.2,0.5,0.743975904,0.787096774,0.701149425,0.791139241,0.492799799,0.746144333,0.840353557
0.01,0.001,0.2,0.5,0.746987952,0.714285714,0.769230769,0.727272727,0.495637753,0.748251748,0.843859266
0.01,0.001,0.2,0.9,0.786144578,0.781065089,0.795180723,0.777108434,0.572382637,0.786144578,0.856728117
0.01,0.001,0.2,0.9,0.734939759,0.738888889,0.764367816,0.702531646,0.468024399,0.733449731,0.81467336
0.01,0.001,0.2,0.9,0.777108434,0.785276074,0.766467066,0.787878788,0.554426342,0.777172927,0.837289058
0.01,0.001,0.2,0.9,0.740963855,0.782051282,0.701149425,0.784810127,0.48627804,0.742979776,0.826785974
0.01,0.001,0.2,0.9,0.719879518,0.690909091,0.730769231,0.710227273,0.440203581,0.720498252,0.828598485
0.01,0.001,0.5,0.1,0.801204819,0.8125,0.78313253,0.819277108,0.602803528,0.801204819,0.871389171
0.01,0.001,0.5,0.1,0.728915663,0.78,0.672413793,0.791139241,0.465180254,0.731776517,0.839807944
0.01,0.001,0.5,0.1,0.780120482,0.79375,0.760479042,0.8,0.560835338,0.780239521,0.857448739
0.01,0.001,0.5,0.1,0.753012048,0.802631579,0.701149425,0.810126582,0.512507865,0.755638004,0.8418449
0.01,0.001,0.5,0.1,0.743975904,0.775193798,0.641025641,0.835227273,0.487655812,0.738126457,0.843822844
0.01,0.001,0.5,0.5,0.801204819,0.828947368,0.759036145,0.843373494,0.604563542,0.801204819,0.873385107
0.01,0.001,0.5,0.5,0.725903614,0.76433121,0.689655172,0.765822785,0.455618848,0.727738979,0.822930307
0.01,0.001,0.5,0.5,0.789156627,0.777142857,0.814371257,0.763636364,0.578848513,0.789003811,0.860497187
0.01,0.001,0.5,0.5,0.753012048,0.815068493,0.683908046,0.829113924,0.516186012,0.756510985,0.833624327
0.01,0.001,0.5,0.5,0.719879518,0.659898477,0.833333333,0.619318182,0.459920337,0.726325758,0.835118007
0.01,0.001,0.5,0.9,0.768072289,0.757225434,0.789156627,0.746987952,0.5366219,0.768072289,0.857871244
0.01,0.001,0.5,0.9,0.734939759,0.759036145,0.724137931,0.746835443,0.470426128,0.735486687,0.809944711
0.01,0.001,0.5,0.9,0.762048193,0.775,0.74251497,0.781818182,0.52466647,0.762166576,0.842406097
0.01,0.001,0.5,0.9,0.725903614,0.767741935,0.683908046,0.772151899,0.456533463,0.728029972,0.824130656
0.01,0.001,0.5,0.9,0.740963855,0.721518987,0.730769231,0.75,0.480454351,0.740384615,0.831275495
0.01,0.001,0.8,0.1,0.798192771,0.832214765,0.746987952,0.84939759,0.599537725,0.798192771,0.869320656
0.01,0.001,0.8,0.1,0.740963855,0.814285714,0.655172414,0.835443038,0.496169149,0.745307726,0.840389932
0.01,0.001,0.8,0.1,0.792168675,0.845070423,0.718562874,0.866666667,0.591432894,0.79261477,0.857811649
0.01,0.001,0.8,0.1,0.746987952,0.804054054,0.683908046,0.816455696,0.502746702,0.750181871,0.850756584
0.01,0.001,0.8,0.1,0.756024096,0.773722628,0.679487179,0.823863636,0.510283847,0.751675408,0.840107809
0.01,0.001,0.8,0.5,0.789156627,0.838028169,0.71686747,0.861445783,0.584453899,0.789156627,0.87298592
0.01,0.001,0.8,0.5,0.743975904,0.76969697,0.729885057,0.759493671,0.488818966,0.744689364,0.835552161
0.01,0.001,0.8,0.5,0.774096386,0.828571429,0.694610778,0.854545455,0.556008579,0.774578116,0.850408274
0.01,0.001,0.8,0.5,0.759036145,0.826388889,0.683908046,0.841772152,0.529742253,0.762840099,0.852029681
0.01,0.001,0.8,0.5,0.746987952,0.746575342,0.698717949,0.789772727,0.491181512,0.744245338,0.840362762
0.01,0.001,0.8,0.9,0.813253012,0.829113924,0.789156627,0.837349398,0.627234838,0.813253012,0.873530266
0.01,0.001,0.8,0.9,0.728915663,0.776315789,0.67816092,0.784810127,0.464086518,0.731485523,0.830532519
0.01,0.001,0.8,0.9,0.792168675,0.795180723,0.790419162,0.793939394,0.584347952,0.792179278,0.854690619
